"サイズの種類ID","サイズの種類名","カテゴリID","カテゴリ名","カテゴリパス"
"4","L","3261","ポロシャツ","メンズファッション/トップス"
"5","XL以上","3261","ポロシャツ","メンズファッション/トップス"
"1","XS以下","3263","シャツ","メンズファッション/トップス"
"2","S","3263","シャツ","メンズファッション/トップス"
"3","M","3263","シャツ","メンズファッション/トップス"
"4","L","3263","シャツ","メンズファッション/トップス"
"5","XL以上","3263","シャツ","メンズファッション/トップス"
"1","XS以下","3264","パーカー・フーディ","メンズファッション/トップス"
"2","S","3264","パーカー・フーディ","メンズファッション/トップス"
"3","M","3264","パーカー・フーディ","メンズファッション/トップス"
"4","L","3264","パーカー・フーディ","メンズファッション/トップス"
"5","XL以上","3264","パーカー・フーディ","メンズファッション/トップス"
"1","XS以下","3265","スウェット・トレーナー","メンズファッション/トップス"
"2","S","3265","スウェット・トレーナー","メンズファッション/トップス"
"3","M","3265","スウェット・トレーナー","メンズファッション/トップス"
"4","L","3265","スウェット・トレーナー","メンズファッション/トップス"
"5","XL以上","3265","スウェット・トレーナー","メンズファッション/トップス"
"1","XS以下","3266","ニット・セーター","メンズファッション/トップス"
"2","S","3266","ニット・セーター","メンズファッション/トップス"
"3","M","3266","ニット・セーター","メンズファッション/トップス"
"4","L","3266","ニット・セーター","メンズファッション/トップス"
"5","XL以上","3266","ニット・セーター","メンズファッション/トップス"
"1","XS以下","3268","トップスその他","メンズファッション/トップス"
"2","S","3268","トップスその他","メンズファッション/トップス"
"3","M","3268","トップスその他","メンズファッション/トップス"
"4","L","3268","トップスその他","メンズファッション/トップス"
"5","XL以上","3268","トップスその他","メンズファッション/トップス"
"1","XS以下","3269","タンクトップ","メンズファッション/トップス"
"2","S","3269","タンクトップ","メンズファッション/トップス"
"3","M","3269","タンクトップ","メンズファッション/トップス"
"4","L","3269","タンクトップ","メンズファッション/トップス"
"5","XL以上","3269","タンクトップ","メンズファッション/トップス"
"1","XS以下","3281","デニム・ジーパン","メンズファッション/パンツ・ボトムス"
"2","S","3281","デニム・ジーパン","メンズファッション/パンツ・ボトムス"
"3","M","3281","デニム・ジーパン","メンズファッション/パンツ・ボトムス"
"4","L","3281","デニム・ジーパン","メンズファッション/パンツ・ボトムス"
"5","XL以上","3281","デニム・ジーパン","メンズファッション/パンツ・ボトムス"
"1","XS以下","3282","ハーフ・ショートパンツ","メンズファッション/パンツ・ボトムス"
"2","S","3282","ハーフ・ショートパンツ","メンズファッション/パンツ・ボトムス"
"3","M","3282","ハーフ・ショートパンツ","メンズファッション/パンツ・ボトムス"
"4","L","3282","ハーフ・ショートパンツ","メンズファッション/パンツ・ボトムス"
"5","XL以上","3282","ハーフ・ショートパンツ","メンズファッション/パンツ・ボトムス"
"1","XS以下","3285","パンツ・ボトムスその他","メンズファッション/パンツ・ボトムス"
"2","S","3285","パンツ・ボトムスその他","メンズファッション/パンツ・ボトムス"
"3","M","3285","パンツ・ボトムスその他","メンズファッション/パンツ・ボトムス"
"4","L","3285","パンツ・ボトムスその他","メンズファッション/パンツ・ボトムス"
"5","XL以上","3285","パンツ・ボトムスその他","メンズファッション/パンツ・ボトムス"
"1","XS以下","3300","コートその他","メンズファッション/アウター・ジャケット"
"2","S","3300","コートその他","メンズファッション/アウター・ジャケット"
"3","M","3300","コートその他","メンズファッション/アウター・ジャケット"
"4","L","3300","コートその他","メンズファッション/アウター・ジャケット"
"5","XL以上","3300","コートその他","メンズファッション/アウター・ジャケット"
"1","XS以下","3301","ジャケットその他","メンズファッション/アウター・ジャケット"
"2","S","3301","ジャケットその他","メンズファッション/アウター・ジャケット"
"3","M","3301","ジャケットその他","メンズファッション/アウター・ジャケット"
"4","L","3301","ジャケットその他","メンズファッション/アウター・ジャケット"
"5","XL以上","3301","ジャケットその他","メンズファッション/アウター・ジャケット"
"1","XS以下","3302","ダウンジャケット","メンズファッション/アウター・ジャケット"
"2","S","3302","ダウンジャケット","メンズファッション/アウター・ジャケット"
"3","M","3302","ダウンジャケット","メンズファッション/アウター・ジャケット"
"4","L","3302","ダウンジャケット","メンズファッション/アウター・ジャケット"
"5","XL以上","3302","ダウンジャケット","メンズファッション/アウター・ジャケット"
"1","XS以下","3303","ブルゾン","メンズファッション/アウター・ジャケット"
"2","S","3303","ブルゾン","メンズファッション/アウター・ジャケット"
"3","M","3303","ブルゾン","メンズファッション/アウター・ジャケット"
"4","L","3303","ブルゾン","メンズファッション/アウター・ジャケット"
"5","XL以上","3303","ブルゾン","メンズファッション/アウター・ジャケット"
"1","XS以下","3304","アウターその他","メンズファッション/アウター・ジャケット"
"2","S","3304","アウターその他","メンズファッション/アウター・ジャケット"
"3","M","3304","アウターその他","メンズファッション/アウター・ジャケット"
"4","L","3304","アウターその他","メンズファッション/アウター・ジャケット"
"5","XL以上","3304","アウターその他","メンズファッション/アウター・ジャケット"
"1","XS以下","3305","レザージャケット","メンズファッション/アウター・ジャケット"
"2","S","3305","レザージャケット","メンズファッション/アウター・ジャケット"
"3","M","3305","レザージャケット","メンズファッション/アウター・ジャケット"
"4","L","3305","レザージャケット","メンズファッション/アウター・ジャケット"
"5","XL以上","3305","レザージャケット","メンズファッション/アウター・ジャケット"
"1","XS以下","3306","ピーコート","メンズファッション/アウター・ジャケット"
