"サイズの種類ID","サイズの種類名","カテゴリID","カテゴリ名","カテゴリパス"
"2","S","3306","ピーコート","メンズファッション/アウター・ジャケット"
"3","M","3306","ピーコート","メンズファッション/アウター・ジャケット"
"4","L","3306","ピーコート","メンズファッション/アウター・ジャケット"
"5","XL以上","3306","ピーコート","メンズファッション/アウター・ジャケット"
"1","XS以下","3307","ダッフルコート","メンズファッション/アウター・ジャケット"
"2","S","3307","ダッフルコート","メンズファッション/アウター・ジャケット"
"3","M","3307","ダッフルコート","メンズファッション/アウター・ジャケット"
"4","L","3307","ダッフルコート","メンズファッション/アウター・ジャケット"
"5","XL以上","3307","ダッフルコート","メンズファッション/アウター・ジャケット"
"1","XS以下","3308","トレンチコート","メンズファッション/アウター・ジャケット"
"2","S","3308","トレンチコート","メンズファッション/アウター・ジャケット"
"3","M","3308","トレンチコート","メンズファッション/アウター・ジャケット"
"4","L","3308","トレンチコート","メンズファッション/アウター・ジャケット"
"5","XL以上","3308","トレンチコート","メンズファッション/アウター・ジャケット"
"1","XS以下","3309","カーディガン","メンズファッション/トップス"
"2","S","3309","カーディガン","メンズファッション/トップス"
"3","M","3309","カーディガン","メンズファッション/トップス"
"4","L","3309","カーディガン","メンズファッション/トップス"
"5","XL以上","3309","カーディガン","メンズファッション/トップス"
"1","XS以下","3310","ジャージ","メンズファッション/アウター・ジャケット"
"2","S","3310","ジャージ","メンズファッション/アウター・ジャケット"
"3","M","3310","ジャージ","メンズファッション/アウター・ジャケット"
"4","L","3310","ジャージ","メンズファッション/アウター・ジャケット"
"5","XL以上","3310","ジャージ","メンズファッション/アウター・ジャケット"
"1","XS以下","3311","ダウンベスト","メンズファッション/アウター・ジャケット"
"2","S","3311","ダウンベスト","メンズファッション/アウター・ジャケット"
"3","M","3311","ダウンベスト","メンズファッション/アウター・ジャケット"
"4","L","3311","ダウンベスト","メンズファッション/アウター・ジャケット"
"5","XL以上","3311","ダウンベスト","メンズファッション/アウター・ジャケット"
"1","XS以下","3312","テーラードジャケット","メンズファッション/アウター・ジャケット"
"2","S","3312","テーラードジャケット","メンズファッション/アウター・ジャケット"
"3","M","3312","テーラードジャケット","メンズファッション/アウター・ジャケット"
"4","L","3312","テーラードジャケット","メンズファッション/アウター・ジャケット"
"5","XL以上","3312","テーラードジャケット","メンズファッション/アウター・ジャケット"
"230","23cm以下","3320","サンダル","メンズファッション/靴・ブーツ・サンダル"
"235","23.5cm","3320","サンダル","メンズファッション/靴・ブーツ・サンダル"
"240","24cm","3320","サンダル","メンズファッション/靴・ブーツ・サンダル"
"245","24.5cm","3320","サンダル","メンズファッション/靴・ブーツ・サンダル"
"250","25cm","3320","サンダル","メンズファッション/靴・ブーツ・サンダル"
"255","25.5cm","3320","サンダル","メンズファッション/靴・ブーツ・サンダル"
"260","26cm","3320","サンダル","メンズファッション/靴・ブーツ・サンダル"
"265","26.5cm","3320","サンダル","メンズファッション/靴・ブーツ・サンダル"
"270","27cm","3320","サンダル","メンズファッション/靴・ブーツ・サンダル"
"275","27.5cm","3320","サンダル","メンズファッション/靴・ブーツ・サンダル"
"280","28cm","3320","サンダル","メンズファッション/靴・ブーツ・サンダル"
